Date,Code,Description,Unit of Measure,Value
1960/01,KBP5356M,London gold price in rand,[object Object],25.06
1960/02,KBP5356M,London gold price in rand,[object Object],25.04
1960/03,KBP5356M,London gold price in rand,[object Object],25.01
1960/04,KBP5356M,London gold price in rand,[object Object],24.99
1960/05,KBP5356M,London gold price in rand,[object Object],25.02
1960/06,KBP5356M,London gold price in rand,[object Object],25.04
1960/07,KBP5356M,London gold price in rand,[object Object],25.00
1960/08,KBP5356M,London gold price in rand,[object Object],25.00
1960/09,KBP5356M,London gold price in rand,[object Object],25.05
1960/10,KBP5356M,London gold price in rand,[object Object],25.46
1960/11,KBP5356M,London gold price in rand,[object Object],25.46
1960/12,KBP5356M,London gold price in rand,[object Object],25.31
1961/01,KBP5356M,London gold price in rand,[object Object],25.34
1961/02,KBP5356M,London gold price in rand,[object Object],25.12
1961/03,KBP5356M,London gold price in rand,[object Object],25.08
1961/04,KBP5356M,London gold price in rand,[object Object],25.07
1961/05,KBP5356M,London gold price in rand,[object Object],25.10
1961/06,KBP5356M,London gold price in rand,[object Object],25.14
1961/07,KBP5356M,London gold price in rand,[object Object],25.20
1961/08,KBP5356M,London gold price in rand,[object Object],25.09
1961/09,KBP5356M,London gold price in rand,[object Object],25.03
1961/10,KBP5356M,London gold price in rand,[object Object],25.00
1961/11,KBP5356M,London gold price in rand,[object Object],25.00
1961/12,KBP5356M,London gold price in rand,[object Object],25.02
1962/01,KBP5356M,London gold price in rand,[object Object],25.02
1962/02,KBP5356M,London gold price in rand,[object Object],25.96
1962/03,KBP5356M,London gold price in rand,[object Object],25.06
1962/04,KBP5356M,London gold price in rand,[object Object],25.06
1962/05,KBP5356M,London gold price in rand,[object Object],25.06
1962/06,KBP5356M,London gold price in rand,[object Object],25.07
1962/07,KBP5356M,London gold price in rand,[object Object],25.09
1962/08,KBP5356M,London gold price in rand,[object Object],25.09
1962/09,KBP5356M,London gold price in rand,[object Object],25.09
1962/10,KBP5356M,London gold price in rand,[object Object],25.10
1962/11,KBP5356M,London gold price in rand,[object Object],25.07
1962/12,KBP5356M,London gold price in rand,[object Object],25.06
1963/01,KBP5356M,London gold price in rand,[object Object],25.04
1963/02,KBP5356M,London gold price in rand,[object Object],25.06
1963/03,KBP5356M,London gold price in rand,[object Object],25.08
1963/04,KBP5356M,London gold price in rand,[object Object],25.07
1963/05,KBP5356M,London gold price in rand,[object Object],25.06
1963/06,KBP5356M,London gold price in rand,[object Object],25.06
1963/07,KBP5356M,London gold price in rand,[object Object],25.06
1963/08,KBP5356M,London gold price in rand,[object Object],25.07
1963/09,KBP5356M,London gold price in rand,[object Object],25.06
1963/10,KBP5356M,London gold price in rand,[object Object],25.06
1963/11,KBP5356M,London gold price in rand,[object Object],25.06
1963/12,KBP5356M,London gold price in rand,[object Object],25.06
1964/01,KBP5356M,London gold price in rand,[object Object],25.06
1964/02,KBP5356M,London gold price in rand,[object Object],25.06
1964/03,KBP5356M,London gold price in rand,[object Object],25.06
1964/04,KBP5356M,London gold price in rand,[object Object],25.06
1964/05,KBP5356M,London gold price in rand,[object Object],25.06
1964/06,KBP5356M,London gold price in rand,[object Object],25.06
1964/07,KBP5356M,London gold price in rand,[object Object],25.06
1964/08,KBP5356M,London gold price in rand,[object Object],25.06
1964/09,KBP5356M,London gold price in rand,[object Object],25.06
1964/10,KBP5356M,London gold price in rand,[object Object],25.08
1964/11,KBP5356M,London gold price in rand,[object Object],25.07
1964/12,KBP5356M,London gold price in rand,[object Object],25.09
1965/01,KBP5356M,London gold price in rand,[object Object],25.09
1965/02,KBP5356M,London gold price in rand,[object Object],25.10
1965/03,KBP5356M,London gold price in rand,[object Object],25.11
1965/04,KBP5356M,London gold price in rand,[object Object],25.11
1965/05,KBP5356M,London gold price in rand,[object Object],25.08
1965/06,KBP5356M,London gold price in rand,[object Object],25.07
1965/07,KBP5356M,London gold price in rand,[object Object],25.09
1965/08,KBP5356M,London gold price in rand,[object Object],25.11
1965/09,KBP5356M,London gold price in rand,[object Object],25.10
1965/10,KBP5356M,London gold price in rand,[object Object],25.09
1965/11,KBP5356M,London gold price in rand,[object Object],25.09
1965/12,KBP5356M,London gold price in rand,[object Object],25.09
1966/01,KBP5356M,London gold price in rand,[object Object],25.11
1966/02,KBP5356M,London gold price in rand,[object Object],25.12
1966/03,KBP5356M,London gold price in rand,[object Object],25.11
1966/04,KBP5356M,London gold price in rand,[object Object],25.09
1966/05,KBP5356M,London gold price in rand,[object Object],25.09
1966/06,KBP5356M,London gold price in rand,[object Object],25.11
1966/07,KBP5356M,London gold price in rand,[object Object],25.13
1966/08,KBP5356M,London gold price in rand,[object Object],25.14
1966/09,KBP5356M,London gold price in rand,[object Object],25.14
1966/10,KBP5356M,London gold price in rand,[object Object],25.11
1966/11,KBP5356M,London gold price in rand,[object Object],25.11
1966/12,KBP5356M,London gold price in rand,[object Object],25.13
