Date,Code,Description,Unit of Measure,Value
1978/07,KBP5357M,London gold price in US dollar,[object Object],188.65
1978/08,KBP5357M,London gold price in US dollar,[object Object],206.03
1978/09,KBP5357M,London gold price in US dollar,[object Object],212.14
1978/10,KBP5357M,London gold price in US dollar,[object Object],227.41
1978/11,KBP5357M,London gold price in US dollar,[object Object],206.58
1978/12,KBP5357M,London gold price in US dollar,[object Object],207.86
1979/01,KBP5357M,London gold price in US dollar,[object Object],227.13
1979/02,KBP5357M,London gold price in US dollar,[object Object],245.63
1979/03,KBP5357M,London gold price in US dollar,[object Object],242.20
1979/04,KBP5357M,London gold price in US dollar,[object Object],239.17
1979/05,KBP5357M,London gold price in US dollar,[object Object],257.69
1979/06,KBP5357M,London gold price in US dollar,[object Object],279.21
1979/07,KBP5357M,London gold price in US dollar,[object Object],294.82
1979/08,KBP5357M,London gold price in US dollar,[object Object],300.81
1979/09,KBP5357M,London gold price in US dollar,[object Object],354.81
1979/10,KBP5357M,London gold price in US dollar,[object Object],391.31
1979/11,KBP5357M,London gold price in US dollar,[object Object],391.76
1979/12,KBP5357M,London gold price in US dollar,[object Object],459.38
1980/01,KBP5357M,London gold price in US dollar,[object Object],674.94
1980/02,KBP5357M,London gold price in US dollar,[object Object],665.61
1980/03,KBP5357M,London gold price in US dollar,[object Object],553.93
1980/04,KBP5357M,London gold price in US dollar,[object Object],517.06
1980/05,KBP5357M,London gold price in US dollar,[object Object],515.54
1980/06,KBP5357M,London gold price in US dollar,[object Object],600.75
1980/07,KBP5357M,London gold price in US dollar,[object Object],645.02
1980/08,KBP5357M,London gold price in US dollar,[object Object],626.75
1980/09,KBP5357M,London gold price in US dollar,[object Object],675.99
1980/10,KBP5357M,London gold price in US dollar,[object Object],661.71
1980/11,KBP5357M,London gold price in US dollar,[object Object],623.67
1980/12,KBP5357M,London gold price in US dollar,[object Object],595.82
1981/01,KBP5357M,London gold price in US dollar,[object Object],558.35
1981/02,KBP5357M,London gold price in US dollar,[object Object],500.28
1981/03,KBP5357M,London gold price in US dollar,[object Object],498.52
1981/04,KBP5357M,London gold price in US dollar,[object Object],495.51
1981/05,KBP5357M,London gold price in US dollar,[object Object],480.09
1981/06,KBP5357M,London gold price in US dollar,[object Object],459.60
1981/07,KBP5357M,London gold price in US dollar,[object Object],408.70
1981/08,KBP5357M,London gold price in US dollar,[object Object],410.20
1981/09,KBP5357M,London gold price in US dollar,[object Object],443.76
1981/10,KBP5357M,London gold price in US dollar,[object Object],437.72
1981/11,KBP5357M,London gold price in US dollar,[object Object],413.39
1981/12,KBP5357M,London gold price in US dollar,[object Object],410.11
1982/01,KBP5357M,London gold price in US dollar,[object Object],384.14
1982/02,KBP5357M,London gold price in US dollar,[object Object],374.29
1982/03,KBP5357M,London gold price in US dollar,[object Object],330.33
1982/04,KBP5357M,London gold price in US dollar,[object Object],350.32
1982/05,KBP5357M,London gold price in US dollar,[object Object],334.16
1982/06,KBP5357M,London gold price in US dollar,[object Object],314.97
1982/07,KBP5357M,London gold price in US dollar,[object Object],337.73
1982/08,KBP5357M,London gold price in US dollar,[object Object],363.82
1982/09,KBP5357M,London gold price in US dollar,[object Object],437.73
1982/10,KBP5357M,London gold price in US dollar,[object Object],422.47
1982/11,KBP5357M,London gold price in US dollar,[object Object],415.01
1982/12,KBP5357M,London gold price in US dollar,[object Object],444.53
1983/01,KBP5357M,London gold price in US dollar,[object Object],481.56
1983/02,KBP5357M,London gold price in US dollar,[object Object],492.30
1983/03,KBP5357M,London gold price in US dollar,[object Object],420.20
1983/04,KBP5357M,London gold price in US dollar,[object Object],433.03
1983/05,KBP5357M,London gold price in US dollar,[object Object],437.28
1983/06,KBP5357M,London gold price in US dollar,[object Object],412.99
1983/07,KBP5357M,London gold price in US dollar,[object Object],422.68
