Date,Code,Description,Unit of Measure,Value
1981/01,KBP5806M,Gross gold and other foreign reserves,Millions US$,6453
1981/02,KBP5806M,Gross gold and other foreign reserves,Millions US$,6449
1981/03,KBP5806M,Gross gold and other foreign reserves,Millions US$,6891
1981/04,KBP5806M,Gross gold and other foreign reserves,Millions US$,6033
1981/05,KBP5806M,Gross gold and other foreign reserves,Millions US$,5980
1981/06,KBP5806M,Gross gold and other foreign reserves,Millions US$,5499
1981/07,KBP5806M,Gross gold and other foreign reserves,Millions US$,5029
1981/08,KBP5806M,Gross gold and other foreign reserves,Millions US$,5387
1981/09,KBP5806M,Gross gold and other foreign reserves,Millions US$,5141
1981/10,KBP5806M,Gross gold and other foreign reserves,Millions US$,4324
1981/11,KBP5806M,Gross gold and other foreign reserves,Millions US$,3910
1981/12,KBP5806M,Gross gold and other foreign reserves,Millions US$,3871
1982/01,KBP5806M,Gross gold and other foreign reserves,Millions US$,3592
1982/02,KBP5806M,Gross gold and other foreign reserves,Millions US$,3832
1982/03,KBP5806M,Gross gold and other foreign reserves,Millions US$,3288
1982/04,KBP5806M,Gross gold and other foreign reserves,Millions US$,3330
1982/05,KBP5806M,Gross gold and other foreign reserves,Millions US$,3193
1982/06,KBP5806M,Gross gold and other foreign reserves,Millions US$,2986
1982/07,KBP5806M,Gross gold and other foreign reserves,Millions US$,3145
1982/08,KBP5806M,Gross gold and other foreign reserves,Millions US$,3120
1982/09,KBP5806M,Gross gold and other foreign reserves,Millions US$,3452
1982/10,KBP5806M,Gross gold and other foreign reserves,Millions US$,3129
1982/11,KBP5806M,Gross gold and other foreign reserves,Millions US$,3765
1982/12,KBP5806M,Gross gold and other foreign reserves,Millions US$,3565
1983/01,KBP5806M,Gross gold and other foreign reserves,Millions US$,4271
1983/02,KBP5806M,Gross gold and other foreign reserves,Millions US$,4366
1983/03,KBP5806M,Gross gold and other foreign reserves,Millions US$,3357
1983/04,KBP5806M,Gross gold and other foreign reserves,Millions US$,3762
1983/05,KBP5806M,Gross gold and other foreign reserves,Millions US$,3514
1983/06,KBP5806M,Gross gold and other foreign reserves,Millions US$,3385
1983/07,KBP5806M,Gross gold and other foreign reserves,Millions US$,3570
1983/08,KBP5806M,Gross gold and other foreign reserves,Millions US$,3937
1983/09,KBP5806M,Gross gold and other foreign reserves,Millions US$,3778
1983/10,KBP5806M,Gross gold and other foreign reserves,Millions US$,3267
1983/11,KBP5806M,Gross gold and other foreign reserves,Millions US$,3328
1983/12,KBP5806M,Gross gold and other foreign reserves,Millions US$,3428
1984/01,KBP5806M,Gross gold and other foreign reserves,Millions US$,3445
1984/02,KBP5806M,Gross gold and other foreign reserves,Millions US$,3558
1984/03,KBP5806M,Gross gold and other foreign reserves,Millions US$,3220
1984/04,KBP5806M,Gross gold and other foreign reserves,Millions US$,3187
1984/05,KBP5806M,Gross gold and other foreign reserves,Millions US$,3248
1984/06,KBP5806M,Gross gold and other foreign reserves,Millions US$,3115
1984/07,KBP5806M,Gross gold and other foreign reserves,Millions US$,3025
1984/08,KBP5806M,Gross gold and other foreign reserves,Millions US$,3040
1984/09,KBP5806M,Gross gold and other foreign reserves,Millions US$,2889
1984/10,KBP5806M,Gross gold and other foreign reserves,Millions US$,2587
1984/11,KBP5806M,Gross gold and other foreign reserves,Millions US$,2772
1984/12,KBP5806M,Gross gold and other foreign reserves,Millions US$,2306
1985/01,KBP5806M,Gross gold and other foreign reserves,Millions US$,2417
1985/02,KBP5806M,Gross gold and other foreign reserves,Millions US$,2158
1985/03,KBP5806M,Gross gold and other foreign reserves,Millions US$,2081
1985/04,KBP5806M,Gross gold and other foreign reserves,Millions US$,2258
1985/05,KBP5806M,Gross gold and other foreign reserves,Millions US$,2142
1985/06,KBP5806M,Gross gold and other foreign reserves,Millions US$,2283
1985/07,KBP5806M,Gross gold and other foreign reserves,Millions US$,2176
1985/08,KBP5806M,Gross gold and other foreign reserves,Millions US$,2270
1985/09,KBP5806M,Gross gold and other foreign reserves,Millions US$,1743
1985/10,KBP5806M,Gross gold and other foreign reserves,Millions US$,1878
1985/11,KBP5806M,Gross gold and other foreign reserves,Millions US$,1800
1985/12,KBP5806M,Gross gold and other foreign reserves,Millions US$,1724
1986/01,KBP5806M,Gross gold and other foreign reserves,Millions US$,2150
1986/02,KBP5806M,Gross gold and other foreign reserves,Millions US$,2188
1986/03,KBP5806M,Gross gold and other foreign reserves,Millions US$,1807
1986/04,KBP5806M,Gross gold and other foreign reserves,Millions US$,1570
1986/05,KBP5806M,Gross gold and other foreign reserves,Millions US$,1511
1986/06,KBP5806M,Gross gold and other foreign reserves,Millions US$,1435
1986/07,KBP5806M,Gross gold and other foreign reserves,Millions US$,1499
1986/08,KBP5806M,Gross gold and other foreign reserves,Millions US$,1747
1986/09,KBP5806M,Gross gold and other foreign reserves,Millions US$,2269
1986/10,KBP5806M,Gross gold and other foreign reserves,Millions US$,2452
1986/11,KBP5806M,Gross gold and other foreign reserves,Millions US$,2274
1986/12,KBP5806M,Gross gold and other foreign reserves,Millions US$,2050
1987/01,KBP5806M,Gross gold and other foreign reserves,Millions US$,2695
1987/02,KBP5806M,Gross gold and other foreign reserves,Millions US$,3001
1987/03,KBP5806M,Gross gold and other foreign reserves,Millions US$,3122
1987/04,KBP5806M,Gross gold and other foreign reserves,Millions US$,3368
1987/05,KBP5806M,Gross gold and other foreign reserves,Millions US$,3394
1987/06,KBP5806M,Gross gold and other foreign reserves,Millions US$,3178
1987/07,KBP5806M,Gross gold and other foreign reserves,Millions US$,3448
1987/08,KBP5806M,Gross gold and other foreign reserves,Millions US$,3434
1987/09,KBP5806M,Gross gold and other foreign reserves,Millions US$,3348
1987/10,KBP5806M,Gross gold and other foreign reserves,Millions US$,3497
1987/11,KBP5806M,Gross gold and other foreign reserves,Millions US$,3327
1987/12,KBP5806M,Gross gold and other foreign reserves,Millions US$,3199
1988/01,KBP5806M,Gross gold and other foreign reserves,Millions US$,3235
1988/02,KBP5806M,Gross gold and other foreign reserves,Millions US$,2947
1988/03,KBP5806M,Gross gold and other foreign reserves,Millions US$,2872
1988/04,KBP5806M,Gross gold and other foreign reserves,Millions US$,2735
1988/05,KBP5806M,Gross gold and other foreign reserves,Millions US$,2765
1988/06,KBP5806M,Gross gold and other foreign reserves,Millions US$,2441
1988/07,KBP5806M,Gross gold and other foreign reserves,Millions US$,2272
1988/08,KBP5806M,Gross gold and other foreign reserves,Millions US$,2174
1988/09,KBP5806M,Gross gold and other foreign reserves,Millions US$,2039
1988/10,KBP5806M,Gross gold and other foreign reserves,Millions US$,1865
1988/11,KBP5806M,Gross gold and other foreign reserves,Millions US$,2132
1988/12,KBP5806M,Gross gold and other foreign reserves,Millions US$,2073
1989/01,KBP5806M,Gross gold and other foreign reserves,Millions US$,2074
1989/02,KBP5806M,Gross gold and other foreign reserves,Millions US$,2044
1989/03,KBP5806M,Gross gold and other foreign reserves,Millions US$,1930
1989/04,KBP5806M,Gross gold and other foreign reserves,Millions US$,2016
1989/05,KBP5806M,Gross gold and other foreign reserves,Millions US$,1865
1989/06,KBP5806M,Gross gold and other foreign reserves,Millions US$,1874
1989/07,KBP5806M,Gross gold and other foreign reserves,Millions US$,1936
1989/08,KBP5806M,Gross gold and other foreign reserves,Millions US$,1939
1989/09,KBP5806M,Gross gold and other foreign reserves,Millions US$,1966
1989/10,KBP5806M,Gross gold and other foreign reserves,Millions US$,2017
1989/11,KBP5806M,Gross gold and other foreign reserves,Millions US$,2119
1989/12,KBP5806M,Gross gold and other foreign reserves,Millions US$,2083
1990/01,KBP5806M,Gross gold and other foreign reserves,Millions US$,2227
1990/02,KBP5806M,Gross gold and other foreign reserves,Millions US$,2326
1990/03,KBP5806M,Gross gold and other foreign reserves,Millions US$,2227
1990/04,KBP5806M,Gross gold and other foreign reserves,Millions US$,2061
1990/05,KBP5806M,Gross gold and other foreign reserves,Millions US$,2007
1990/06,KBP5806M,Gross gold and other foreign reserves,Millions US$,1941
1990/07,KBP5806M,Gross gold and other foreign reserves,Millions US$,2092
1990/08,KBP5806M,Gross gold and other foreign reserves,Millions US$,2369
1990/09,KBP5806M,Gross gold and other foreign reserves,Millions US$,2273
1990/10,KBP5806M,Gross gold and other foreign reserves,Millions US$,2444
1990/11,KBP5806M,Gross gold and other foreign reserves,Millions US$,2649
1990/12,KBP5806M,Gross gold and other foreign reserves,Millions US$,2424
1991/01,KBP5806M,Gross gold and other foreign reserves,Millions US$,2639
1991/02,KBP5806M,Gross gold and other foreign reserves,Millions US$,2691
1991/03,KBP5806M,Gross gold and other foreign reserves,Millions US$,2665
1991/04,KBP5806M,Gross gold and other foreign reserves,Millions US$,2494
1991/05,KBP5806M,Gross gold and other foreign reserves,Millions US$,2557
1991/06,KBP5806M,Gross gold and other foreign reserves,Millions US$,2574
1991/07,KBP5806M,Gross gold and other foreign reserves,Millions US$,2684
1991/08,KBP5806M,Gross gold and other foreign reserves,Millions US$,2770
1991/09,KBP5806M,Gross gold and other foreign reserves,Millions US$,2859
1991/10,KBP5806M,Gross gold and other foreign reserves,Millions US$,3046
1991/11,KBP5806M,Gross gold and other foreign reserves,Millions US$,3244
1991/12,KBP5806M,Gross gold and other foreign reserves,Millions US$,2972
1992/01,KBP5806M,Gross gold and other foreign reserves,Millions US$,3335
1992/02,KBP5806M,Gross gold and other foreign reserves,Millions US$,3315
1992/03,KBP5806M,Gross gold and other foreign reserves,Millions US$,3116
1992/04,KBP5806M,Gross gold and other foreign reserves,Millions US$,3349
1992/05,KBP5806M,Gross gold and other foreign reserves,Millions US$,3668
1992/06,KBP5806M,Gross gold and other foreign reserves,Millions US$,3674
1992/07,KBP5806M,Gross gold and other foreign reserves,Millions US$,4076
1992/08,KBP5806M,Gross gold and other foreign reserves,Millions US$,4218
1992/09,KBP5806M,Gross gold and other foreign reserves,Millions US$,3834
1992/10,KBP5806M,Gross gold and other foreign reserves,Millions US$,3755
1992/11,KBP5806M,Gross gold and other foreign reserves,Millions US$,3489
1992/12,KBP5806M,Gross gold and other foreign reserves,Millions US$,2981
1993/01,KBP5806M,Gross gold and other foreign reserves,Millions US$,2863
1993/02,KBP5806M,Gross gold and other foreign reserves,Millions US$,2641
1993/03,KBP5806M,Gross gold and other foreign reserves,Millions US$,2356
1993/04,KBP5806M,Gross gold and other foreign reserves,Millions US$,2545
1993/05,KBP5806M,Gross gold and other foreign reserves,Millions US$,2491
1993/06,KBP5806M,Gross gold and other foreign reserves,Millions US$,2259
1993/07,KBP5806M,Gross gold and other foreign reserves,Millions US$,2176
