"model_id","rmse","mae","mape","rrmse"
1,0.156622692434036,0.118272069000038,0.949035452124185,1.24125710395006
2,0.158978431899766,0.12091204299904,0.968557612132642,1.25992667412186
3,0.15803398998159,0.120498134162972,0.96485736478,1.25244183765286
4,0.156513398655117,0.119234395788746,0.95509062748112,1.24039093521428
5,0.185252811929616,0.140775366436437,1.12143708087968,1.46815487118003
6,0.14636170856099,0.111129741929494,0.892557754996985,1.15993734799388
7,0.161908666044085,0.122486530629912,0.98232945396305,1.28314919629504
8,0.184632632359687,0.140080406699145,1.11617807948307,1.46323985991993
9,0.183677745383062,0.139526899773472,1.11196057534377,1.45567224487779
10,0.181842471365071,0.137219059756413,1.09437592216216,1.44112743737178
