Date,Sim_Close
2011-12-15,169.7258097413791
2011-12-16,169.3995967539992
2011-12-19,169.97308007965881
2011-12-20,170.00769014936833
2011-12-21,170.0094052434327
2011-12-22,172.01748322769262
2011-12-23,172.15184971008833
2011-12-27,170.58377622856048
2011-12-28,170.25903508780308
2011-12-29,169.6742407236831
2011-12-30,170.1138734426589
2012-01-03,170.49565003512774
2012-01-04,170.60595861536535
2012-01-05,170.68877787449952
2012-01-06,170.41644142059786
2012-01-09,172.51073718476155
2012-01-10,172.65987737605326
2012-01-11,170.2499367880977
2012-01-12,170.4804791487232
2012-01-13,169.86312945944965
2012-01-17,169.3859999770549
2012-01-18,169.07443007946497
2012-01-19,168.61402830014205
2012-01-20,167.6893588249927
2012-01-23,167.389343117853
2012-01-24,165.3153111449621
2012-01-25,165.6004259627599
2012-01-27,165.73447370416372
2012-01-30,165.22921892935895
2012-01-31,166.68379683464286
2012-02-01,166.80438252323356
2012-02-02,166.40029674364285
2012-02-03,166.70834700806085
2012-02-06,167.71210719310054
2012-02-07,167.9907396257555
2012-02-08,168.7671079306756
2012-02-09,168.93867499209065
2012-02-10,168.81438093939857
2012-02-13,168.64199587390263
2012-02-14,168.13543067268776
2012-02-15,167.80754788111955
2012-02-16,167.50804714749603
2012-02-17,166.95188860686872
2012-02-21,169.50463576527497
2012-02-22,169.93782056459693
2012-02-23,168.5400902647529
2012-02-24,168.3289363306333
2012-02-27,167.71894990628542
2012-02-28,167.98093595361996
2012-02-29,167.83089307385376
2012-03-01,167.88222047945166
2012-03-02,167.79796437303324
2012-03-05,167.73081619011668
2012-03-06,169.32313893093405
2012-03-07,169.18283053667034
2012-03-08,170.95259526198578
2012-03-09,170.2830941402937
2012-03-12,170.93463063985698
2012-03-13,170.93417233739484
2012-03-14,171.1433022198876
2012-03-15,171.24515801299154
2012-03-16,170.59236986926038
2012-03-19,170.4090869157926
2012-03-20,169.13679645606413
2012-03-21,168.6580799654739
2012-03-22,168.97231433515898
2012-03-23,169.10159824661076
2012-03-26,169.11520331868735
2012-03-27,169.43411030583925
2012-03-28,171.84421192859182
2012-03-29,171.5977994621692
2012-03-30,168.77679681140026
2012-04-02,169.12909222118515
2012-04-03,168.2280513060863
2012-04-04,167.90284785949933
2012-04-05,169.08353350313536
2012-04-09,168.91962430031498
2012-04-10,167.4047630456095
2012-04-11,167.4272844375092
2012-04-12,167.21061480258234
2012-04-13,167.16292047694228
2012-04-16,167.5752569582939
2012-04-17,167.37699294557692
2012-04-18,168.10024480379954
2012-04-19,167.962050179072
2012-04-20,168.31018853577083
2012-04-23,168.6989241410306
2012-04-24,169.17114193003115
2012-04-25,168.99076929581867
2012-04-26,170.31933843795997
2012-04-27,170.6667399803448
2012-04-30,171.27481633175452
2012-05-01,171.32030902579908
2012-05-02,170.51682173455185
2012-05-03,171.01108271396384
2012-05-04,170.24077120938728
2012-05-07,171.06570440659394
2012-05-08,172.85483715801615
2012-05-09,172.71055701437598
2012-05-10,171.4288519340078
2012-05-11,171.09468930852807
2012-05-14,171.35294975951595
2012-05-15,171.20427300813097
2012-05-16,170.73722188885372
2012-05-17,170.3065744619477
2012-05-18,170.202541192177
2012-05-21,169.83857940439418
2012-05-22,167.7870490804884
2012-05-23,167.5849584723733
2012-05-24,168.63775440324622
2012-05-25,168.35761561820286
2012-05-29,169.0371728048729
2012-05-30,168.3400197215572
2012-05-31,168.2233453629278
2012-06-01,168.38110824450516
2012-06-04,168.6924922791052
2012-06-05,168.6847627567648
