Date,Code,Description,Unit of Measure,Value
1970/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,914
1970/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,879
1970/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,857
1970/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,845
1970/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,894
1970/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,902
1970/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,866
1970/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,805
1970/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,807
1970/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,794
1970/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,745
1970/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,681
1971/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,649
1971/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,641
1971/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,637
1971/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,619
1971/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,611
1971/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,570
1971/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,519
1971/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,486
1971/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,477
1971/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,460
1971/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,415
1971/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,464
1972/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,505
1972/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,520
1972/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,562
1972/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,616
1972/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,673
1972/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,732
1972/07,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,823
1972/08,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,838
1972/09,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,859
1972/10,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,916
1972/11,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,916
1972/12,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,937
1973/01,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,985
1973/02,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,999
1973/03,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,1080
1973/04,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,1138
1973/05,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,1196
1973/06,KBP1021M,South African Reserve Bank assets: Total gold and other      foreign reserves,R millions,1196
