"fold","mean","sd","min","max","rmse","mae"
1,0.386767652868744,0.3007310081909,-0.12559985571065,1.03237016376567,0.486065899979416,0.402397179599042
2,-0.439507266782298,0.176006928591198,-0.748168311515548,-0.126613692836372,0.472074473127439,0.439507266782298
3,-0.178050296598498,0.225539549684772,-1.03213788146954,0.166756820901608,0.283637960972239,0.202573623594831
4,0.0415847855818605,0.380611495146418,-0.596192265328717,0.88455585267057,0.374911133963212,0.295518797811676
5,-0.159786616103381,0.355386996802902,-0.457810723731163,0.807666561345848,0.382843549795471,0.337695602500365
6,-0.0521847509704967,0.200691122316914,-0.3412007599058,0.311226942962835,0.203278059653867,0.177903014083567
7,0.0680616558260821,0.332003019867559,-0.330302188921815,1.17270574660245,0.332062710912037,0.23208827042024
8,0.20892773919265,0.245741847428287,-0.321120119955558,0.606077446828593,0.318627753236529,0.294376402995229
9,0.713990086087279,0.451835533436026,-0.0101731097319525,1.51282642196212,0.839899231705722,0.714837845231609
10,-0.215643906824482,0.160195437923074,-0.523774921854144,0.147531659337821,0.26663757946837,0.230271885790375
