"Model","Description","RMSE","MAE","RRMSE","Rank"
"Gaussian Process","GP with RBF kernel",0.153635494051968,0.115798650443172,1.21758313209435,1
"Seasonal Naive","Last seasonal observation",2.86028691359279,2.3237134502924,22.6681804255647,2
"Naive","Last observation",3.35418085972806,2.91052631578947,26.5823601635777,3
"ETS(ETS(A,Ad,N))","Exponential smoothing",3.37055934486357,2.92696206979116,26.712161986739,4
"ARIMA2ARIMA0ARIMA1ARIMA0ARIMA0","Auto-selected ARIMA",7.2710843953269,6.47786834947608,57.6243775334223,5
"Drift","Linear trend from data",7.29642694455373,6.50210104629557,57.8252208388919,6
"Mean","Historical mean",11.8840369649619,11.7634440571876,94.1826824524602,7
